disease,symptoms,tips
Allergic Rhinitis - pediatric,sneezing; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (acute),cough; fever; chest pain; shortness of breath; fever,See a doctor — may need antibiotics or supportive care
Asthma (acute),shortness of breath; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension (acute),dizziness; nosebleeds; headache,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),blurred vision; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,painful urination; lower abdominal pain; fatigue,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - adult,nausea; headache; visual disturbances; loss of appetite,As for migraine; seek medical care if pattern changes
Bronchitis - adult,mucus; mild fever; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (recurrent),facial pain; nasal congestion; runny nose; nausea,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (acute),hearing difficulty; ear pain; loss of appetite,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (chronic),swelling; pus; redness; loss of appetite,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder,restlessness; palpitations; loss of appetite,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression (recurrent),low mood; loss of interest; sleep changes; fatigue; fatigue,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),limited mobility; stiffness; lower back pain,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,joint pain; reduced range of motion; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis - adult,joint pain; swelling; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (chronic),cough; sneezing,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - adult,cough; fever; fatigue; chills; body aches,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine - pediatric,headache; nausea; sensitivity to light; fatigue,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (chronic),vomiting; stomach pain,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (recurrent),nasal congestion; sneezing; runny nose; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - adult,cough; shortness of breath; chest pain,See a doctor — may need antibiotics or supportive care; consult your healthcare provider if symptoms worsen
Asthma - pediatric,shortness of breath; wheeze; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),dizziness; headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (chronic),frequent urination; increased thirst; blurred vision; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection,frequent urination; lower abdominal pain; painful urination; loss of appetite,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (chronic),headache; nausea,As for migraine; seek medical care if pattern changes
Bronchitis (recurrent),cough; mild fever; mucus; fever,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (chronic),nasal congestion; headache; facial pain; runny nose; nausea,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media (chronic),fever; hearing difficulty; ear pain,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (chronic),pain; swelling; redness,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (chronic),palpitations; worry; insomnia,"Consider therapy, lifestyle changes, medications as advised"
Depression - pediatric,low mood; sleep changes; loss of interest,"Seek professional help: therapy, social support, medications"
Back Pain,limited mobility; lower back pain; stiffness,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (acute),stiffness; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (recurrent),joint pain; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (acute),sneezing; cough; sore throat; loss of appetite,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - adult,fever; body aches,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (chronic),sensitivity to light; visual aura; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (acute),stomach pain; diarrhea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (recurrent),runny nose; sneezing; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays; consult your healthcare provider if symptoms worsen"
Pneumonia,cough; chest pain; shortness of breath; fever,See a doctor — may need antibiotics or supportive care; consult your healthcare provider if symptoms worsen
Asthma (recurrent),shortness of breath; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - pediatric,dizziness; headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes,increased thirst; frequent urination; fever,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection,painful urination; frequent urination; fatigue,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura,visual disturbances; nausea; fatigue,As for migraine; seek medical care if pattern changes
Bronchitis (chronic),mild fever; cough; fatigue; mucus; loss of appetite,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (acute),runny nose; headache; facial pain,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (acute),ear pain; fever,"Pain relief, see doctor for potential antibiotics in children; consult your healthcare provider if symptoms worsen"
Skin Infection - pediatric,swelling; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,palpitations; restlessness; worry; insomnia; nausea,"Consider therapy, lifestyle changes, medications as advised"
Depression (acute),loss of interest; fatigue; fever,"Seek professional help: therapy, social support, medications"
Back Pain - pediatric,lower back pain; stiffness; nausea,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - pediatric,stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (recurrent),swelling; joint pain; morning stiffness; loss of appetite,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - adult,runny nose; cough,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza,body aches; chills; fatigue; cough; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - adult,sensitivity to light; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - adult,nausea; diarrhea; headache,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (acute),itchy eyes; runny nose,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,fever; shortness of breath; cough,See a doctor — may need antibiotics or supportive care; consult your healthcare provider if symptoms worsen
Asthma (acute),wheeze; shortness of breath; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (chronic),increased thirst; frequent urination; fever,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection,lower abdominal pain; frequent urination; painful urination; fever,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - adult,headache; nausea,As for migraine; seek medical care if pattern changes
Bronchitis (recurrent),mucus; fatigue; mild fever,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - pediatric,runny nose; headache; facial pain; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media,hearing difficulty; ear pain,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (recurrent),redness; pain; swelling,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - adult,palpitations; worry; insomnia; restlessness,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,low mood; sleep changes; loss of interest; fever,"Seek professional help: therapy, social support, medications"
Back Pain (acute),lower back pain; stiffness; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - pediatric,reduced range of motion; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis - pediatric,morning stiffness; joint pain,"Early rheumatology referral, DMARDs and symptom control; consult your healthcare provider if symptoms worsen"
Common Cold,sneezing; cough; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants; consult your healthcare provider if symptoms worsen"
Influenza (chronic),chills; fatigue; cough,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine (recurrent),nausea; sensitivity to light,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (recurrent),nausea; vomiting; fatigue,"Hydration (oral rehydration), rest; see doctor if severe; consult your healthcare provider if symptoms worsen"
Allergic Rhinitis (acute),itchy eyes; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays; consult your healthcare provider if symptoms worsen"
Pneumonia - pediatric,shortness of breath; cough; chest pain; fever,See a doctor — may need antibiotics or supportive care
Asthma - pediatric,cough; wheeze; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (chronic),dizziness; nosebleeds; fatigue,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),blurred vision; frequent urination; increased thirst; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection,painful urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (chronic),headache; visual disturbances,As for migraine; seek medical care if pattern changes
Bronchitis (recurrent),cough; mucus,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis - adult,runny nose; nasal congestion; headache; facial pain,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media - adult,hearing difficulty; ear pain; loss of appetite,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (chronic),pus; redness; nausea,"Keep clean, see doctor for antibiotics if spreading or severe; consult your healthcare provider if symptoms worsen"
Anxiety Disorder (recurrent),insomnia; palpitations; restlessness; worry,"Consider therapy, lifestyle changes, medications as advised"
Depression (recurrent),fatigue; sleep changes; loss of interest; low mood; fatigue,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain - adult,limited mobility; stiffness; fatigue,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - pediatric,stiffness; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (chronic),swelling; joint pain; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (acute),sore throat; cough; runny nose,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - pediatric,fatigue; body aches; headache,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (acute),nausea; sensitivity to light; visual aura; headache; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (recurrent),nausea; stomach pain; vomiting; diarrhea; nausea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (chronic),itchy eyes; sneezing; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - pediatric,fever; cough; shortness of breath; chest pain,See a doctor — may need antibiotics or supportive care
Asthma - adult,wheeze; cough; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension,headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - pediatric,frequent urination; increased thirst; fatigue; blurred vision,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection (acute),painful urination; frequent urination; lower abdominal pain; headache,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - adult,headache; nausea; visual disturbances,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis - adult,mucus; fatigue; mild fever,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - adult,runny nose; headache,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media,hearing difficulty; fever; ear pain,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (chronic),pus; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (acute),palpitations; restlessness; worry,"Consider therapy, lifestyle changes, medications as advised"
Depression (chronic),low mood; loss of interest; fatigue,"Seek professional help: therapy, social support, medications"
Back Pain,limited mobility; stiffness; fever,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - pediatric,reduced range of motion; stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (chronic),joint pain; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (recurrent),runny nose; cough; sneezing; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (acute),cough; body aches; chills; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine (chronic),visual aura; nausea; fatigue,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis,nausea; diarrhea; vomiting,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (chronic),itchy eyes; nasal congestion; sneezing,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - adult,cough; chest pain; fever,See a doctor — may need antibiotics or supportive care
Asthma,cough; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (recurrent),headache; nosebleeds; dizziness; nausea,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes,fatigue; frequent urination; increased thirst; headache,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,frequent urination; lower abdominal pain; painful urination; nausea,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura,nausea; headache; fatigue,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis (chronic),mild fever; fatigue; cough; mucus,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - adult,runny nose; facial pain; fever,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (recurrent),hearing difficulty; fever; ear pain; fatigue,"Pain relief, see doctor for potential antibiotics in children; consult your healthcare provider if symptoms worsen"
Skin Infection (acute),swelling; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - adult,palpitations; insomnia; restlessness; worry; fatigue,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression (recurrent),loss of interest; sleep changes; low mood; fatigue,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain,lower back pain; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (chronic),reduced range of motion; stiffness; fatigue,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis - adult,morning stiffness; swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - pediatric,sore throat; sneezing,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - adult,fever; fatigue; body aches; chills; cough,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine (recurrent),visual aura; headache; sensitivity to light; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis (recurrent),vomiting; nausea; diarrhea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - adult,nasal congestion; itchy eyes; sneezing; runny nose; headache,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - pediatric,chest pain; fever,See a doctor — may need antibiotics or supportive care
Asthma (chronic),chest tightness; shortness of breath; wheeze,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),frequent urination; blurred vision; fatigue; increased thirst; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - pediatric,lower abdominal pain; painful urination,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura (recurrent),visual disturbances; headache; nausea,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis - pediatric,mucus; cough; mild fever; fatigue; fever,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis - pediatric,nasal congestion; runny nose; headache; facial pain; fatigue,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media,fever; hearing difficulty; headache,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (acute),pain; pus; redness,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,insomnia; worry; restlessness; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression - pediatric,sleep changes; low mood; loss of interest,"Seek professional help: therapy, social support, medications"
Back Pain (acute),lower back pain; stiffness,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis,reduced range of motion; stiffness; loss of appetite,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis (chronic),joint pain; morning stiffness; swelling,"Early rheumatology referral, DMARDs and symptom control"
Common Cold,sore throat; sneezing; cough; runny nose; fever,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza,fever; chills; body aches; cough,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,visual aura; nausea; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis - pediatric,vomiting; nausea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - adult,runny nose; sneezing; nasal congestion; itchy eyes; fever,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - adult,cough; chest pain; nausea,See a doctor — may need antibiotics or supportive care
Asthma (acute),shortness of breath; wheeze; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension (recurrent),headache; dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (acute),increased thirst; fatigue; blurred vision; frequent urination; headache,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection (acute),painful urination; lower abdominal pain; loss of appetite,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura (acute),visual disturbances; nausea; headache; loss of appetite,As for migraine; seek medical care if pattern changes
Bronchitis - pediatric,mild fever; mucus; cough; fatigue; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis - pediatric,headache; facial pain; fever,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - adult,fever; ear pain; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - pediatric,pus; pain; redness; swelling,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (chronic),worry; restlessness,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression - pediatric,loss of interest; fatigue; sleep changes; low mood; loss of appetite,"Seek professional help: therapy, social support, medications"
Back Pain (recurrent),stiffness; lower back pain; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,reduced range of motion; joint pain; fatigue,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis (acute),joint pain; morning stiffness; loss of appetite,"Early rheumatology referral, DMARDs and symptom control; consult your healthcare provider if symptoms worsen"
Common Cold,sneezing; runny nose; cough; headache,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (acute),cough; chills; fatigue; body aches,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine (acute),nausea; headache; sensitivity to light; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (acute),nausea; diarrhea; vomiting,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - pediatric,itchy eyes; sneezing; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays; consult your healthcare provider if symptoms worsen"
Pneumonia - pediatric,chest pain; shortness of breath; cough; fever,See a doctor — may need antibiotics or supportive care
Asthma - adult,cough; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension (acute),nosebleeds; headache; dizziness,"Lifestyle changes, medications as prescribed; regular monitoring; consult your healthcare provider if symptoms worsen"
Type 2 Diabetes - pediatric,frequent urination; blurred vision; increased thirst; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,lower abdominal pain; frequent urination; painful urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura,nausea; visual disturbances; headache; headache,As for migraine; seek medical care if pattern changes
Bronchitis (chronic),mild fever; mucus; cough; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - adult,facial pain; runny nose; headache; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media - pediatric,fever; ear pain; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - pediatric,swelling; pus; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (chronic),palpitations; restlessness; worry; insomnia,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,loss of interest; fatigue; low mood,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),lower back pain; stiffness; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,joint pain; reduced range of motion; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis,swelling; morning stiffness; joint pain; fever,"Early rheumatology referral, DMARDs and symptom control; consult your healthcare provider if symptoms worsen"
Common Cold - pediatric,sneezing; sore throat; nausea,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (chronic),body aches; fatigue; fatigue,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine (recurrent),headache; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (chronic),diarrhea; vomiting; nausea,"Hydration (oral rehydration), rest; see doctor if severe; consult your healthcare provider if symptoms worsen"
Allergic Rhinitis,runny nose; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (acute),fever; chest pain; cough,See a doctor — may need antibiotics or supportive care
Asthma,wheeze; chest tightness; fatigue,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - pediatric,frequent urination; blurred vision; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,painful urination; frequent urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (acute),headache; nausea; visual disturbances; loss of appetite,As for migraine; seek medical care if pattern changes
Bronchitis (acute),cough; mucus,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (chronic),headache; facial pain; nasal congestion; runny nose; headache,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - pediatric,ear pain; fever; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - adult,pus; pain; headache,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder,worry; insomnia; palpitations; restlessness,"Consider therapy, lifestyle changes, medications as advised"
Depression (chronic),sleep changes; fatigue; loss of appetite,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),limited mobility; stiffness; fatigue,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,joint pain; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (chronic),joint pain; morning stiffness; swelling,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - adult,sore throat; sneezing; runny nose; cough,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - adult,body aches; fever; chills,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine,sensitivity to light; visual aura; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - pediatric,diarrhea; stomach pain; nausea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - adult,runny nose; sneezing; itchy eyes; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - adult,cough; chest pain; shortness of breath; fever; fatigue,See a doctor — may need antibiotics or supportive care
Asthma (recurrent),wheeze; shortness of breath; chest tightness; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - pediatric,dizziness; headache; fatigue,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),blurred vision; increased thirst; fatigue; frequent urination,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection - pediatric,lower abdominal pain; painful urination; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura,nausea; visual disturbances; nausea,As for migraine; seek medical care if pattern changes
Bronchitis (recurrent),fatigue; mild fever,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis (chronic),facial pain; nasal congestion; runny nose,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media (acute),hearing difficulty; fever; ear pain,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (recurrent),pus; redness; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder,palpitations; worry; loss of appetite,"Consider therapy, lifestyle changes, medications as advised"
Depression (chronic),low mood; loss of interest,"Seek professional help: therapy, social support, medications"
Back Pain (acute),stiffness; lower back pain; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (chronic),stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis,joint pain; swelling; headache,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - adult,sore throat; runny nose; cough; sneezing; headache,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (recurrent),fatigue; fever; chills; body aches; cough,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - pediatric,sensitivity to light; headache; fatigue,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis (chronic),nausea; stomach pain; vomiting; diarrhea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - adult,itchy eyes; runny nose; sneezing; nasal congestion; headache,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (recurrent),fever; shortness of breath,See a doctor — may need antibiotics or supportive care
Asthma - adult,cough; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension (chronic),headache; nosebleeds; dizziness; loss of appetite,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - pediatric,increased thirst; fatigue; blurred vision; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (acute),frequent urination; painful urination; nausea,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (recurrent),headache; visual disturbances; nausea; fever,As for migraine; seek medical care if pattern changes
